mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3681964874267578,0.0029299711968708885,0.004464149475097656,1.9466795466607238e-07,0.8,100,1,7,0.01,0.5,1.0,0.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0, 'alpha': 0.5}",-62.18705414396126,-62.4657930540101,-64.24919276276654,-62.967346653579305,0.9135173527717476,8197
1.0458979606628418,0.002230549843685844,0.006778637568155925,0.0004678862142689383,1.0,300,10,7,0.01,5,1.0,0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 1.0, 'alpha': 0}",-17.493891821209562,-17.284771755340746,-18.195429008656248,-17.65803086173552,0.38947004739142643,7330
0.6252901554107666,0.01392526478768269,0.004794518152872722,0.00046771763700269667,0.6,300,10,4,0.5,0.5,0.8,2,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.8, 'alpha': 2}",-12.834835719963765,-13.002242312030305,-13.585756798266573,-13.140944943420214,0.3218689499633111,2565
0.45615426699320477,0.0020381923973724885,0.00462953249613444,0.00023371834421019016,0.8,300,5,3,0.05,1.5,0.4,1,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1.5, 'colsample_bytree': 0.4, 'alpha': 1}",-15.986967153725752,-16.376500097957944,-16.758247373080962,-16.373904874921553,0.3148791784998513,6982
0.6510820388793945,0.004156020828399112,0.00512544314066569,0.0006182968463227871,0.8,300,10,4,0.5,1.5,1.0,5,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 1.5, 'colsample_bytree': 1.0, 'alpha': 5}",-12.477894886707654,-13.249451707906509,-13.180877004730554,-12.969407866448238,0.3486778641468552,1103
0.34670329093933105,0.006517941468315678,0.004629214604695638,0.0009356038867107292,1.0,100,10,7,0.01,2,1.0,0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 1.0, 'alpha': 0}",-62.121051430449164,-62.39041794521024,-64.16992166083585,-62.89379701216509,0.9090325146467356,8189
0.9412421385447184,0.005127959484117575,0.005952040354410808,0.0007015483694218882,0.4,600,10,3,0.05,5,0.6,1,"{'subsample': 0.4, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.6, 'alpha': 1}",-14.319072789134509,-14.285668928772628,-14.829588210438212,-14.478109976115116,0.2489064970009551,6026
1.5653750896453857,0.02174851609748837,0.009424130121866861,0.001765204578053889,1.0,600,1,6,0.5,0.5,0.6,5,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.6, 'alpha': 5}",-12.511874048748371,-13.499913569656881,-13.753676969872712,-13.255154862759321,0.5356919153019831,3322
0.6801807880401611,0.014826576150110545,0.009258906046549479,0.0023027885887681684,0.4,300,10,6,0.01,0.5,0.4,2,"{'subsample': 0.4, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.4, 'alpha': 2}",-19.918100986693297,-20.333223300685166,-23.225949445238008,-21.15909124420549,1.4712826040057756,7995
0.1436744530995687,0.0010193733929144604,0.003802776336669922,0.00023383089786071297,1.0,100,1,3,0.2,0.5,0.6,0.5,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.6, 'alpha': 0.5}",-14.864394404252968,-15.362545740390567,-15.626955782857054,-15.284631975833529,0.31615173579072053,6619
